INSERT INTO Registro_gimnasio VALUES('2023-05-15', 'A0200414'),
('2023-05-15', 'A0323592'),
('2023-05-15', 'A0930748'),
('2023-05-15', 'A0669973'),
('2023-05-15', 'A0582878'),
('2023-05-15', 'A0242898'),
('2023-05-15', 'A0932876'),
('2023-05-15', 'A0578029'),
('2023-05-15', 'A0841171'),
('2023-05-15', 'A0804124'),
('2023-05-15', 'A0781497'),
('2023-05-15', 'A0825149'),
('2023-05-15', 'A024694'),
('2023-05-15', 'A0725117'),
('2023-05-15', 'A0420501'),
('2023-05-15', 'A0162020'),
('2023-05-15', 'A0328207'),
('2023-05-15', 'A0141306'),
('2023-05-15', 'A0378804'),
('2023-05-15', 'A0415882'),
('2023-05-15', 'A023748'),
('2023-05-15', 'A0533949'),
('2023-05-15', 'A0283253'),
('2023-05-15', 'A0960252'),
('2023-05-15', 'A0257710'),
('2023-05-15', 'A0934053'),
('2023-05-15', 'A0413995'),
('2023-05-15', 'A0200891'),
('2023-05-15', 'A0115587'),
('2023-05-15', 'A0118317'),
('2023-05-15', 'A0811676'),
('2023-05-15', 'A0790095'),
('2023-05-15', 'A0434551'),
('2023-05-15', 'A0442196'),
('2023-05-15', 'A0266344'),
('2023-05-15', 'A0735499'),
('2023-05-15', 'A0391517'),
('2023-05-15', 'A0537298'),
('2023-05-15', 'A0710324'),
('2023-05-15', 'A0376129'),
('2023-05-15', 'A067783'),
('2023-05-15', 'A0436973'),
('2023-05-15', 'A0249223'),
('2023-05-15', 'A0462566'),
('2023-05-15', 'A057457'),
('2023-05-15', 'A0903702'),
('2023-05-15', 'A0230250'),
('2023-05-15', 'A0513263'),
('2023-05-15', 'A0176553'),
('2023-05-15', 'A0113451'),
('2023-05-15', 'A0556351'),
('2023-05-15', 'A0219296'),
('2023-05-15', 'A0500183'),
('2023-05-15', 'A0924358'),
('2023-05-15', 'A0902960'),
('2023-05-15', 'A0957848'),
('2023-05-15', 'A0726390'),
('2023-05-15', 'A048861'),
('2023-05-15', 'A0772410'),
('2023-05-15', 'A0968295'),
('2023-05-15', 'A0733907'),
('2023-05-15', 'A0690221'),
('2023-05-15', 'A0857269'),
('2023-05-15', 'A0772555'),
('2023-05-15', 'A0845379'),
('2023-05-15', 'A0569618'),
('2023-05-15', 'A0610514'),
('2023-05-15', 'A0521669'),
('2023-05-15', 'A0808200'),
('2023-05-15', 'A075828'),
('2023-05-15', 'A0384109'),
('2023-05-15', 'A0237984'),
('2023-05-15', 'A0700011'),
('2023-05-15', 'A0156725'),
('2023-05-15', 'A0786714'),
('2023-05-15', 'A0707978'),
('2023-05-15', 'A0823233'),
('2023-05-15', 'A045395'),
('2023-05-15', 'A057346'),
('2023-05-15', 'A0175139'),
